2.254795128,2.495041744
1.732578171,3.665788319
3.543617382,3.612836826
2.355783751,4.159929572
0.78569176,4.583250307
3.246422699,3.71536402
3.598082263,4.438555603
3.703215402,6.175046898
3.370728475,5.554478757
2.920692166,5.73057221
3.123388641,4.547118868
4.935386259,3.310068387
3.046264285,4.371067237
2.648460019,4.679083439
4.391837153,5.033848954
8.054749727,6.388230287
5.748196044,7.272473335
8.663587805,7.574343001
7.85782435,6.273020985
7.264711325,7.305987858
4.031157588,5.732551752
5.43508441,6.31664775
4.68278619,6.374412618
6.202111296,7.188577924
4.941598955,8.916593571
5.56002983,7.596473621
7.477886747,6.088630637
4.771741433,5.321507233
4.153315915,6.216284831
5.252395832,8.493946769
